IndividualID	Gender	Population
HG00734	2	PUR
HG00736	1	PUR
HG00737	2	PUR
HG00740	2	PUR
HG01047	1	PUR
HG01048	1	PUR
HG01051	1	PUR
HG01052	2	PUR
HG01055	2	PUR
HG01060	1	PUR
HG01061	2	PUR
HG01066	1	PUR
HG01067	2	PUR
HG01069	1	PUR
HG01070	2	PUR
HG01072	1	PUR
HG01073	2	PUR
HG01075	1	PUR
HG01079	1	PUR
HG01080	2	PUR
HG01082	1	PUR
HG01083	2	PUR
HG01085	1	PUR
HG01095	2	PUR
HG01097	1	PUR
HG01098	2	PUR
HG01101	1	PUR
HG01102	2	PUR
HG01104	1	PUR
HG01105	2	PUR
HG01107	1	PUR
HG01108	2	PUR
HG01112	1	CLM
HG01113	2	CLM
HG01124	1	CLM
HG01125	2	CLM
HG01133	1	CLM
HG01134	2	CLM
HG01136	1	CLM
HG01137	2	CLM
HG01140	2	CLM
HG01148	1	CLM
HG01149	2	CLM
HG01167	1	PUR
HG01168	2	PUR
HG01170	1	PUR
HG01171	2	PUR
HG01173	1	PUR
HG01174	2	PUR
HG01176	1	PUR
HG01183	2	PUR
HG01187	1	PUR
HG01188	2	PUR
HG01190	1	PUR
HG01191	2	PUR
HG01197	1	PUR
HG01198	2	PUR
HG01204	1	PUR
HG01250	1	CLM
HG01251	2	CLM
HG01257	2	CLM
HG01259	1	CLM
HG01271	1	CLM
HG01272	2	CLM
HG01274	1	CLM
HG01275	2	CLM
HG01277	1	CLM
HG01278	2	CLM
HG01334	1	GBR
HG01342	2	CLM
HG01344	1	CLM
HG01345	2	CLM
HG01350	1	CLM
HG01351	2	CLM
HG01353	1	CLM
HG01354	2	CLM
HG01356	1	CLM
HG01357	2	CLM
HG01359	1	CLM
HG01360	2	CLM
HG01365	1	CLM
HG01366	2	CLM
HG01374	1	CLM
HG01375	2	CLM
HG01377	1	CLM
HG01378	2	CLM
HG01383	1	CLM
HG01384	2	CLM
HG01389	1	CLM
HG01390	2	CLM
HG01437	1	CLM
HG01440	1	CLM
HG01441	2	CLM
HG01455	1	CLM
HG01456	2	CLM
HG01461	1	CLM
HG01462	2	CLM
HG01465	2	CLM
HG01488	1	CLM
HG01489	2	CLM
HG01491	1	CLM
HG01492	2	CLM
HG01494	1	CLM
HG01495	2	CLM
HG01497	1	CLM
HG01498	2	CLM
HG01515	1	IBS
HG01516	2	IBS
HG01518	1	IBS
HG01519	2	IBS
HG01521	1	IBS
HG01522	2	IBS
HG01550	1	CLM
HG01551	2	CLM
HG01617	1	IBS
HG01618	2	IBS
HG01619	1	IBS
HG01620	2	IBS
HG01623	2	IBS
HG01624	1	IBS
HG01625	1	IBS
HG01626	2	IBS
NA06984	1	CEU
NA06986	1	CEU
NA06989	2	CEU
NA06994	1	CEU
NA07000	2	CEU
NA07037	2	CEU
NA07048	1	CEU
NA07051	1	CEU
NA07056	2	CEU
NA07347	1	CEU
NA07357	1	CEU
NA10847	2	CEU
NA10851	1	CEU
NA11829	1	CEU
NA11830	2	CEU
NA11831	1	CEU
NA11843	1	CEU
NA11892	2	CEU
NA11893	1	CEU
NA11894	2	CEU
NA11919	1	CEU
NA11920	2	CEU
NA11930	1	CEU
NA11931	2	CEU
NA11932	1	CEU
NA11933	2	CEU
NA11992	1	CEU
NA11993	2	CEU
NA11994	1	CEU
NA11995	2	CEU
NA12003	1	CEU
NA12004	2	CEU
NA12006	2	CEU
NA12043	1	CEU
NA12044	2	CEU
NA12045	1	CEU
NA12046	2	CEU
NA12058	2	CEU
NA12144	1	CEU
NA12154	1	CEU
NA12155	1	CEU
NA12249	2	CEU
NA12272	1	CEU
NA12273	2	CEU
NA12275	2	CEU
NA12282	1	CEU
NA12283	2	CEU
NA12286	1	CEU
NA12287	2	CEU
NA12340	1	CEU
NA12341	2	CEU
