IndividualID	Gender	Population
HG03904	2	BEB
HG03905	1	BEB
HG03906	1	BEB
HG03907	2	BEB
HG03908	1	BEB
HG03909	1	BEB
HG03910	2	BEB
HG03911	1	BEB
HG03913	2	BEB
HG03914	1	BEB
HG03915	2	BEB
HG03917	1	BEB
HG03919	2	BEB
HG03920	1	BEB
HG03922	2	BEB
HG03924	2	BEB
HG03925	2	BEB
HG03926	1	BEB
HG03927	2	BEB
HG03928	2	BEB
HG03929	1	BEB
HG03930	2	BEB
HG03931	2	BEB
HG03585	1	BEB
HG03587	2	BEB
HG03934	2	BEB
HG03937	2	BEB
HG03939	2	BEB
HG03940	2	BEB
HG03941	1	BEB
HG03942	1	BEB
HG04128	1	BEB
HG04131	1	BEB
HG04132	2	BEB
HG04133	2	BEB
HG04134	1	BEB
HG04135	2	BEB
HG04136	2	BEB
HG04140	1	BEB
HG04141	2	BEB
HG04142	2	BEB
HG04144	2	BEB
HG04146	1	BEB
HG04147	2	BEB
HG04148	2	BEB
HG04149	1	BEB
HG04150	2	BEB
HG04151	2	BEB
HG04152	1	BEB
HG04153	2	BEB
HG04155	1	BEB
HG04156	2	BEB
HG04157	1	BEB
HG04158	1	BEB
HG04159	2	BEB
HG04160	1	BEB
HG04161	1	BEB
HG04162	2	BEB
HG04164	1	BEB
HG04171	2	BEB
HG04173	1	BEB
HG04174	2	BEB
HG04175	2	BEB
HG04176	1	BEB
HG04177	2	BEB
HG03593	1	BEB
HG04180	2	BEB
HG04181	2	BEB
HG04182	1	BEB
HG04183	2	BEB
HG04184	2	BEB
HG04185	1	BEB
HG04186	2	BEB
HG04187	1	BEB
HG04188	1	BEB
HG04189	2	BEB
HG04191	1	BEB
HG04192	2	BEB
HG04193	1	BEB
HG04194	1	BEB
HG04195	2	BEB
HG03594	1	BEB
HG03595	2	BEB
HG03596	1	BEB
HG03598	2	BEB
HG03599	2	BEB
HG03009	1	BEB
HG03812	1	BEB
HG03902	1	BEB
HG03916	2	BEB
HG00866	1	CDX
HG00867	2	CDX
HG02371	1	CDX
HG02372	1	CDX
HG00759	2	CDX
HG00766	2	CDX
HG00844	1	CDX
HG00851	2	CDX
HG00864	2	CDX
HG00879	2	CDX
HG00881	1	CDX
HG00956	2	CDX
HG00978	2	CDX
HG00982	1	CDX
HG00983	1	CDX
HG01028	1	CDX
HG01029	2	CDX
HG01031	1	CDX
HG01046	2	CDX
HG01794	2	CDX
HG01795	2	CDX
HG01796	2	CDX
HG01797	2	CDX
HG01798	2	CDX
HG01799	2	CDX
HG01800	2	CDX
HG01801	2	CDX
HG01802	2	CDX
HG01804	2	CDX
HG01805	2	CDX
HG01806	2	CDX
HG01807	2	CDX
HG01808	2	CDX
HG01809	2	CDX
HG01810	1	CDX
HG01811	1	CDX
HG01812	2	CDX
HG01813	2	CDX
HG01815	2	CDX
HG01816	1	CDX
HG01817	2	CDX
HG02151	2	CDX
HG02152	2	CDX
HG02153	2	CDX
HG02154	2	CDX
HG02155	2	CDX
HG02156	2	CDX
HG02164	2	CDX
HG02165	2	CDX
HG02166	2	CDX
HG02168	2	CDX
HG02169	2	CDX
HG02170	2	CDX
HG02173	2	CDX
HG02176	2	CDX
HG02178	2	CDX
